adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,filename
False,,,0,"[{'id': 878, 'name': 'Science Fiction'}]",,28850,tt0089091,it,Endgame - Bronx lotta finale,"In the year 2025, a nuclear holocaust has left New York City an irradiated, but not abandoned, wasteland. The ruined city is inhabited now by scavenger packs and telepathic mutants, who are persecuted by the elite survivors. Keeping the people pacified is the reality television program Endgame, where hunters and gladiators fight to the death.",2.492,/vm3Vyng17XlQEgmEQlWKBMzzGPv.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1983-11-05,0,98,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,A future world where violence explodes in duels to the death...,Endgame,False,5.3,23,endgame.csv
False,/5acVDrmC6RFcJrCj74CfH5LoIsb.jpg,"{'id': 8050, 'name': 'Highlander Collection', 'poster_path': '/mNIXoyFicGseg9NoG3NHKZolKze.jpg', 'backdrop_path': '/gY5NPUGGJJdaGPlEM6f2pfHNtit.jpg'}",25000000,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",,12211,tt0144964,en,Highlander: Endgame,"Immortals Connor and Duncan Macleod join forces against a man from Connor's distant past in the highlands of Scotland, Kell, an immensely powerful immortal who leads an army of equally powerful and deadly immortal swordsmen and assassins. No immortal alive has been able to defeat Kell yet, and neither Connor nor Duncan are skilled enough themselves to take him on and live. The two of them eventually come to one inevitable conclusion; one of them must die so that the combined power of both the Highlanders can bring down Kell for good. There can be only one... the question is, who will it be?",12.823,/pFgdn4kwtgLjd73lXFtif7G2GWs.jpg,"[{'id': 2737, 'logo_path': None, 'name': 'Davis-Panzer Productions', 'origin_country': ''}, {'id': 7405, 'logo_path': '/rfnws0uY8rsNAsrLbx3gEIcYXx3.png', 'name': 'Dimension Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-09-01,15843608,87,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Gaelic', 'iso_639_1': 'gd', 'name': ''}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"It will take two immortals to defeat the ultimate evil. But in the end, there can be only one.",Highlander: Endgame,False,4.8,240,endgame.csv
False,,,0,[],,756793,tt9322990,en,Endgame,A Father's cautionary tale about internet safety turns sinister when the lines between truth and fiction are blurred.,0.6,,[],[],,0,0,[],Released,,Endgame,False,0.0,0,endgame.csv
False,,,0,[],,233407,tt0365162,en,Endgame,An adaptation of Samuel Beckett's play.,0.9990000000000001,/thMNnM22Uk1BVg0MHsL42sd3LJN.jpg,[],[],1989-01-01,0,90,[],Released,,Endgame,False,0.0,0,endgame.csv
False,,,0,[],https://myspace.com/luiscamara/video/endgame/1844785,320200,tt0299847,en,Endgame,An ordinary chess game between a man and a woman turns into a battle of the sexes.,0.6,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-12-01,0,8,[],Released,,Endgame,False,7.0,2,endgame.csv
False,/kd95nBirBiMK5AjMlrB2eqIY7HA.jpg,,0,"[{'id': 18, 'name': 'Drama'}]",https://www.facebook.com/endgamemovie,376651,tt2941396,en,Endgame,"Since he was 5 yrs old, Jose's abuelita taught him to play chess like his grandfather who was a champion in Mexico. Now as part of the Brownsville school team, Jose has the chance to use his skills and for once in his life, finds himself in the spotlight, as he tries to help his team make it to the Texas state finals. As their coach, Mr. Alvarado, teaches his students the meaning of perseverance and team effort in the face of adversity, Jose discovers his own strengths and uses them to bring his broken family together.",6.405,/bx2qO3rfiOL6LXtbWlTDzFNQEcZ.jpg,"[{'id': 80274, 'logo_path': None, 'name': 'Sparkhope Productions', 'origin_country': ''}, {'id': 80275, 'logo_path': None, 'name': 'Avila Entertainment', 'origin_country': ''}, {'id': 80276, 'logo_path': None, 'name': 'Late Bloomer Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-09-25,0,90,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Endgame,False,6.0,7,endgame.csv
False,,,0,"[{'id': 27, 'name': 'Horror'}]",,353227,tt0416821,en,Horror 102: Endgame,"A group of high school/university students are staying in an abandoned insane asylum  as part of a school project field trip, which turns out to be haunted by the tormented spirits of it's previous inhabitants.",3.283,,"[{'id': 4824, 'logo_path': '/7hbsinpDzqlWbjp6jumTFcmUnOj.png', 'name': 'Taurus Entertainment Company', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-09-04,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Horror 102: Endgame,False,1.0,2,endgame.csv
False,/oDvkt6sbGBLXt6EfPgl5ozoIb2f.jpg,"{'id': 407273, 'name': 'Dead Rising Collection', 'poster_path': '/8ovcesEVWJE0ajsd9X9jvSy5Vjq.jpg', 'backdrop_path': '/5XvDksmqMvsDgNbVYOgIJiZ5L0W.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",,400605,tt5481404,en,Dead Rising: Endgame,Investigative reporter Chase Carter must stop a secret government conspiracy in the zombie infested quarantine zone of East Mission City.,11.300999999999998,/yQZCTiMWnXNTeKtnBAOmGdUT0rf.jpg,"[{'id': 37217, 'logo_path': None, 'name': 'Contradiction Films', 'origin_country': ''}, {'id': 59429, 'logo_path': None, 'name': 'Legendary Digital Media', 'origin_country': ''}, {'id': 78424, 'logo_path': None, 'name': 'DR2 Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-06-20,0,96,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Dead Rising: Endgame,False,4.9,112,endgame.csv
False,/oJk602G6mEnhuyEOvUroCQIXASi.jpg,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",,718185,,en,BCTV: Endgame,"The Bishop Carroll TV Broadcasting class faces its most dangerous challenge yet when their new broadcast is completely erased. The senior Class of 2020 takes the reigns to save the broadcast, but in the process faces a dangerous journey through time and must reflect on the unavoidable and emotional end of their high school career.",1.036,/sKnjNsZ2AKYHOSxKgjIaBKAqOTk.jpg,"[{'id': 136162, 'logo_path': None, 'name': 'BCTV Studios', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-07-10,0,24,[],Released,It All Ends,BCTV: Endgame,False,6.0,2,endgame.csv
False,,,200,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,756462,,en,Halloween Endgame,Set One Year Later After Halloween The Hunt (2020)... John and the infamous Michael Myers reunite one last time.,0.6,/6CCVGjjQUG7E69sOmRjeO4fenWR.jpg,[],[],2021-07-04,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",In Production,It All Ends Here,Halloween Endgame,False,0.0,0,endgame.csv
False,/c7bnPbDmCpsku9bG3F1LptpfGC3.jpg,,22000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,15102,tt1217616,en,Endgame,"The time is the late '80s, a crucial period in the history of South Africa. President P.W. Botha is hanging on to power by a thread as the African National Congress (ANC) takes up arms against  apartheid and the country tumbles toward insurrection. A British mining concern is convinced that their interests would be better served in a stable South Africa and they quietly dispatch Michael Young, their head of public affairs, to open an unofficial dialogue between the bitter rivals.  Assembling a reluctant yet brilliant team to pave the way to reconciliation by confronting obstacles that initially seem insurmountable, Young places his trust in ANC leader Thabo Mbeki and Afrikaner philosophy professor Willie Esterhuyse. It is their empathy that will ultimately serve as the catalyst for change by proving more powerful than the terrorist bombs that threaten to disrupt the peaceful dialogue.",4.854,/b8WzwCABwVRVdw14OcE6pmezJjK.jpg,"[{'id': 773, 'logo_path': '/8GHHXJTeF5XU5a5EN6myMiYwSJh.png', 'name': 'Film Afrika Worldwide', 'origin_country': 'ZA'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2009-01-18,0,109,"[{'english_name': 'Xhosa', 'iso_639_1': 'xh', 'name': ''}, {'english_name': 'Afrikaans', 'iso_639_1': 'af', 'name': 'Afrikaans'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Endgame,False,6.0,28,endgame.csv
False,,,0,"[{'id': 27, 'name': 'Horror'}]",,290656,tt2350852,en,Raised by Wolves,"When a group of friends come across an abandoned house in the barren desert, what follows is a terrifying tale of evil possession causing the friends to slowly turn against each other.",6.335,/rrOTHRNKw7l0FdPwQUqcH406xb4.jpg,"[{'id': 87826, 'logo_path': None, 'name': 'Sawhorse Productions', 'origin_country': ''}, {'id': 87827, 'logo_path': None, 'name': 'Helios Productions (II)', 'origin_country': ''}, {'id': 23928, 'logo_path': None, 'name': 'San Francisco Independent Cinema', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-08-18,0,76,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Raised by Wolves,False,4.1,10,raised_by_wolves.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684426,tt0371397,en,The Matrix: What Is the Concept?,This documentary takes you though a comparison of the conceptual art and the final scenes.,1.429,/hSTervHaROcTd8Ir3DPfepN80dL.jpg,[],[],1999-09-21,0,11,[],Released,,The Matrix: What Is the Concept?,False,6.0,2,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684428,tt0371396,en,The Matrix: What Is Bullet-Time?,"Special Effects wizard John Gaeta demonstrates how the ""Bullet-Time"" effects were created for the film Matrix, The (1999).",0.6,/hSTervHaROcTd8Ir3DPfepN80dL.jpg,[],[],1999-09-21,0,6,[],Released,,The Matrix: What Is Bullet-Time?,False,0.0,0,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684431,tt0365467,en,Making 'The Matrix',"A promotional making-of documentary for the film Matrix, The (1999) that devotes its time to explaining the digital and practical effects contained in the film. This is very interesting, seeing as how they're giving away the cinematic secrets that they created solely for the this movie, that have now been spoofed and referenced in countless other films.",1.831,/m2yIfRJYwpCgHON1Ig1pNKMWTxp.jpg,[],[],1999-09-21,0,26,[],Released,,Making 'The Matrix',False,7.3,3,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,174615,tt0439783,en,Return to Source: The Philosophy of The Matrix,"An hour long discussion on the philosophical concepts that inspired, and are presented in the trilogy. This is one of the two feature-length documentaries on disc number 8 of the 10-Disc Ultimate Set.",1.605,,[],[],2004-12-07,0,61,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Return to Source: The Philosophy of The Matrix,True,7.2,11,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,371610,,en,David Icke - Secrets of the Matrix,"Since 1990 David Icke has been on an amazing journey of self and collective discovery to establish the real power behind apparently ""random"" world events like 9/11 and the ""war on terrorism"". Here he reveals that a network of interbreeding bloodlines manipulating through their web of interconnecting secret societies have been pursuing an agenda for thousands of years to impose a globally centralized fascist state with total control and surveillance of the population.  The attacks of September 11th - not the work of ""bin Laden"" - and the subsequent ""war on terrorism"" are a means through which this is designed to be achieved.  Over more than six hours and with hundreds of illustrations, David Icke also reveals the illusion that is life in this ""physical"" reality. How is the ""world"" a provable illusion - just a lucid dream? How do we create it and how can we change the dream to one that we would like to experience?",2.147,,[],[],2004-10-05,0,360,[],Released,,David Icke - Secrets of the Matrix,False,0.0,0,the_matrix.csv
False,,,0,[],,344225,tt0274085,en,Sex and the Matrix,"A spoof created for the 2000 MTV Movie Awards, combining The Matrix and ""Sex in the City"".",0.84,,[],[],2000-01-01,0,6,[],Released,,Sex and the Matrix,False,7.0,2,the_matrix.csv
False,,,0,[],,696109,tt9847360,en,A Glitch In The Matrix,"Are we in fact living in a simulation? This is the question postulated, wrestled with, and ultimately argued for in the latest provocation from acclaimed documentary stylist Rodney Ascher (Room 237, The Nightmare) through archival footage, compelling interviews with real people shrouded in digital avatars, and a collection of cases from some of our most iconoclastic figures in contemporary culture.",0.804,,[],[],,0,110,[],Released,"Documentary filmmaker Rodney Ascher tackles this question ""are we living in a simulation?"" with testimony, philosophical evidence and scientific explanation in his for the answer.",A Glitch In The Matrix,False,0.0,0,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,274866,,en,The Roots of the Matrix,"Disc 8 of 10 of 'The Matrix: Ultimate Edition': Probe the philosophical and technological inspirations of The Matrix Trilogy through two insightful documentaries:  - Return to Source: Philosophy &amp; The Matrix documentary – Scholars, philosophers and theorists deconstruct the intellectual underpinnings of the trilogy  - The Hard Problem: The Science Behind the Fiction documentary – Is the notion of a real Matrix plausible? An investigation of the technologies that inspire the metaphor of the Matrix.",1.063,/qmOtnpPihV3Wj6ukpiNIgzo4Ax7.jpg,[],[],2004-12-07,0,190,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Roots of the Matrix,False,7.5,2,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 878, 'name': 'Science Fiction'}]",,221495,tt0410519,en,The Matrix Recalibrated,"The making of Matrix Revolutions, The (2003) is briefly touched on here in this documentary. Interviews with various cast and crew members inform us how they were affected by the deaths of Gloria Foster and Aaliyah, and also delve into the making of the visual effects that takes up a lot of screen time. Written by Rhyl Donnelly",5.4110000000000005,/gRni1Q651AZPnLqZczmahiIxG0s.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-06,0,27,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Recalibrated,False,6.7,25,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684731,tt5319604,en,The Matrix Reloaded: Pre-Load,"This making-of piece offers the standard mix of movie snippets, behind the scenes materials, and interviews from cast and crew on the making of the film.",2.9139999999999997,/zkpzfTyF7BjadH1PZKlC6kueWXf.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-10-14,0,22,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Reloaded: Pre-Load,False,4.0,2,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684735,tt0391319,en,Making 'Enter the Matrix',"A look at Enter the Matrix: The game's story picks up just before The Matrix Reloaded and runs parallel to that of the film. Bend the rules of the Matrix with martial arts, pilot the fastest hovercraft in the fleet, or just fight with lots of guns.",3.7060000000000004,/645ZsitYflnN1tlNpllSvDQXoQ0.jpg,[],[],2003-10-14,0,28,[],Released,,Making 'Enter the Matrix',False,6.0,1,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,503880,tt1830851,en,The Matrix Revolutions Revisited,"The making of The Matrix Revolutions: The cataclysmic final confrontation chronicled through six documentary pods revealing 28 featurettes",2.265,/61ASnmqvzpuz9VEfFElo3e2nIft.jpg,[],[],2004-12-07,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Revolutions Revisited,False,8.4,5,the_matrix.csv
False,/htYaLEQ41N2Ls7mhWvgP8JD21E3.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,505806,,en,A Glitch in the Matrix,"In 'A Glitch in the Matrix', journalist David Fuller analyzes and assesses Dr. Jordan B Peterson's recent viral interview with Cathy Newman, unpacking the deeper political, psychological and archetypal levels of the clash.",0.738,/7vZPj3lFSc6eJsLk5nzvqacvrGR.jpg,[],[],2018-02-17,0,54,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Jordan Peterson, the Intellectual Dark Web & the Mainstream Media",A Glitch in the Matrix,False,6.0,2,the_matrix.csv
False,/lBdXACywnLwKUZmZkZ87djDQBeV.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,14543,tt0295432,en,The Matrix Revisited,The film goes behind the scenes of the 1999 sci-fi movie The Matrix.,15.297,/fNG2JOskhQnttmAaj2knM5h59Io.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-11-19,0,123,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Revisited,False,6.9,128,the_matrix.csv
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,591955,tt1830850,en,The Matrix Reloaded Revisited,The making of The Matrix Reloaded:  Go to the middle movies furthest reaches via five documentary paths revealing 21 featurettes,6.5089999999999995,/gb7C4oRzYWXWCuZMR1cwtHa53Pz.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-12-07,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Reloaded Revisited,False,7.4,5,the_matrix.csv
